Generator,Average,KS Test,Z Test,Chi Squared Test,Product of successive values,Correlation Coefficient
Hadamard1Bit,127.40243,0.0048827450980392095,2.032663101785331,0.5951314285714286,0.24945818024117086,-0.0018945191500435985
Hadamard8Bit,127.32316,0.005420784313725502,-1.4947693051553321,1.67536,0.24965780069180588,0.004214895620414322
RY1Bit,127.54492,0.005770196078431322,2.572197569753177,1.0667200000000001,0.2501437800229604,-0.00034321348953121367
RY8Bit,127.66872,0.004663921568627494,-2.9824836566875588,1.0851428571428572,0.25121480295925325,0.006600381577884817
Uniform1Bit,127.67664,0.004793725490196077,-3.754691931336536,0.9986514285714286,0.250667623169887,-0.00029054638755980107
Uniform8Bit,127.72951,0.004834901960784288,0.05637366659326177,0.7374628571428572,0.25115405863785706,0.0030503774251494048
LCG,127.68346,0.004189019607843125,17.35631532234397,1.6706285714285716,0.25107025849189474,0.004265316457802895
KISS,127.47637,0.002389411764705862,20.856891643624305,0.7246171428571428,0.2478409337726601,-0.024832372035305448
Hadamard1Bit,127.09868,0.00582372549019608,-3.8193221319360355,1.0061714285714287,0.2484916741516492,0.0007827163318314755
Hadamard8Bit,127.13012,0.007305098039215668,-3.5251198776964623,2.1836114285714285,0.2488931365284424,0.004044015609973276
RY1Bit,127.53303,0.004659803921568728,-2.531567775815478,0.9027657142857143,0.2503154466377409,0.0022271226015162984
RY8Bit,127.65959,0.004305294117647129,0.4769089916452086,1.9504914285714285,0.2509574913511516,0.0039783292219562
Uniform1Bit,127.53246,0.004090196078431418,-0.4555385790582402,0.3253257142857143,0.2497313362214754,-0.004767566778775801
Uniform8Bit,127.61416,0.005532156862745108,1.5907218392642195,0.9106742857142858,0.25013930554530317,-0.003647237136133411
LCG,127.10922,0.005321176470588218,15.29333024028781,1.9968228571428572,0.24831086757618537,-0.0019243552870655185
KISS,127.48226,0.002318823529411762,22.04477633930786,0.50768,0.24783378445087925,-0.025173212428514
Hadamard1Bit,127.22408,0.004947843137254909,2.1760184009655608,0.4317714285714286,0.24893678802224323,0.000170548654290781
Hadamard8Bit,127.78157,0.0058119607843137855,2.129707380781469,1.3907885714285715,0.25108906437007067,-0.00022632732571818156
RY1Bit,127.7388,0.006658431372548956,-1.7139200997029889,0.9119542857142857,0.2511859437702425,0.00289709459952938
RY8Bit,126.93862,0.006672156862745082,2.09669285971069,1.7011428571428573,0.24759521243809055,-0.0024525075593176014
Uniform1Bit,127.03741,0.005836862745098037,4.523743379812489,1.4788114285714287,0.248034716717793,-0.0018388605070903802
Uniform8Bit,127.18906,0.006179411764705878,-2.0442829770751616,1.02192,0.24838705595821872,-0.0046525799009370095
LCG,127.67165,0.004265882352941175,13.958239368809089,1.3185828571428573,0.25105373252886554,0.0045930961832350535
KISS,127.58254,0.0025570588235294123,23.41688700846695,0.6385142857142857,0.2482464307918746,-0.024883154846270693
Hadamard1Bit,127.50405,0.004673725490196068,-3.619283925401461,0.3047542857142857,0.24988393044253068,-0.0015648897689740742
Hadamard8Bit,127.29119,0.004739999999999994,0.5332604327476003,1.2148571428571429,0.24906717979136425,-0.0013571070494437598
RY1Bit,127.4674,0.004188823529411745,-0.04299495099376854,0.1660114285714286,0.24969474592862057,-0.002093239715016897
RY8Bit,127.44093,0.004377450980392154,-0.07610143428543725,0.42553142857142856,0.25014527084909505,0.004479721006776878
Uniform1Bit,127.01401,0.006302745098039214,-1.1772606188672061,1.65872,0.24819843800129646,0.0011980135176466722
Uniform8Bit,127.76675,0.006532745098039139,-3.627786052354251,2.6362514285714287,0.2512572642835234,0.0025040472838030385
LCG,127.39271,0.0040294117647058925,15.54703414663261,1.1901485714285716,0.24954095307965696,-0.0004736012301017691
KISS,127.52982,0.0023492156862744973,21.760452444659567,0.76192,0.2480223996396065,-0.02510589244429635
Hadamard1Bit,127.36434,0.004313725490196079,-3.272037161052194,1.0029485714285715,0.24987515173114017,0.004877831215006122
Hadamard8Bit,127.67286,0.004602745098039214,-2.4894339485084056,0.8701942857142857,0.2503206031675825,-0.004227753801537631
RY1Bit,127.30307,0.005613137254901951,-0.6558894481792471,1.49424,0.24953799695628828,0.0036544118490855412
RY8Bit,127.68385,0.005733529411764637,-1.7452497199193735,0.8671542857142858,0.25075915964849577,0.0004191904049807445
Uniform1Bit,127.31393,0.006037843137254917,1.3547928847336284,1.0414400000000001,0.24942374206517925,0.0018248844972071406
Uniform8Bit,127.12242,0.0067547058823529404,0.9229078527958949,1.0123657142857143,0.24812573154566325,-0.004722151881277346
LCG,127.35904,0.004244117647058898,16.12743272631452,3.3461028571428573,0.2493090259622313,-0.0016488224372249102
KISS,127.49519,0.002259019607843138,24.019159321878597,0.6925485714285714,0.24791305875381062,-0.024828306389382652
Hadamard1Bit,127.15304,0.00522235294117647,0.31246820901011757,0.75488,0.2488306105667773,0.002231841783248457
Hadamard8Bit,127.27115,0.005375490196078414,-4.282762414044979,2.965074285714286,0.248779698715862,-0.0037973749839442334
RY1Bit,127.80004,0.005510392156862776,-6.171844961944668,1.0318628571428572,0.25072620599331674,-0.005409892348988953
RY8Bit,127.72185,0.004808627450980318,0.5676063876234674,0.6584457142857143,0.2506510439960168,-0.0026280313434810434
Uniform1Bit,127.45493,0.0040968627450980385,-3.3022112288848344,1.2052114285714286,0.24957114023273871,-0.0030079873134966502
Uniform8Bit,127.60617,0.004576862745098054,-2.399108143358747,0.4870628571428572,0.2502771459087132,-0.0016731865569670134
LCG,127.45205,0.0037358823529411445,12.720711225756837,2.2021485714285713,0.2503761794249987,0.006760631679705379
KISS,127.46328,0.002439411764705912,21.558158055256698,0.7451428571428572,0.24781784657523678,-0.02446021494690592
Hadamard1Bit,127.72306,0.005997647058823552,2.3678610120883463,0.9846857142857143,0.2507230594797289,-0.0017995985549016694
Hadamard8Bit,127.82116,0.005760392156862748,1.4929030364709135,0.5679314285714286,0.2517146284880759,0.0053502387817856295
RY1Bit,127.41775,0.004816470588235311,-1.9045586721822325,0.2870857142857143,0.2493079606689926,-0.004370200675434655
RY8Bit,127.36112,0.004521764705882336,-1.6830688892578698,0.9523428571428572,0.24974795138185676,0.0034702552028747116
Uniform1Bit,127.44512,0.004881372549019547,0.6681355448686831,1.1685028571428573,0.2495588442235813,-0.0026553062641343924
Uniform8Bit,127.54538,0.004960980392156755,-0.8068604437626083,0.9176000000000001,0.250251010776158,0.0009106553519775196
LCG,127.58923,0.0038188235294117634,16.031710843100637,0.9664685714285715,0.2507067772715386,0.004230158149830474
KISS,127.5075,0.0023298039215686184,22.304104768820608,0.45712,0.24792041799695363,-0.025280039217732937
Hadamard1Bit,128.04708,0.006471960784313668,1.6663259172137366,1.8047542857142858,0.2524553733042104,0.003632653331518096
Hadamard8Bit,127.83098,0.005936666666666701,-3.0803284833575972,0.7159085714285714,0.2513860552677024,0.0010604785188654063
RY1Bit,127.2968,0.004696470588235302,-2.606148451360355,0.7627428571428572,0.2491848803147767,-0.00021307816362511363
RY8Bit,127.74869,0.006914117647058848,-0.28389898266258634,1.2164114285714287,0.251268538675389,0.0034717586717265656
Uniform1Bit,127.56931,0.004613725490196008,1.0664210131952891,0.5242514285714286,0.25068803706106824,0.0049174079583113985
Uniform8Bit,127.37045,0.004560196078431389,-0.8826097385695657,0.3730057142857143,0.24920928009741614,-0.0033695514429935482
LCG,127.58113,0.00385176470588236,14.553956739594444,2.556502857142857,0.25072960841104047,0.004982355588390537
KISS,127.56173,0.002409411764705882,21.954457225786708,0.7020342857142857,0.24818560619285607,-0.02466764034257569
Hadamard1Bit,127.36502,0.005640980392156852,-4.333378778353025,0.7976228571428572,0.24952090412869052,0.0006268524399776737
Hadamard8Bit,127.29806,0.00460313725490194,4.020470741168894,0.32754285714285714,0.24940233239318074,0.002299404242868552
RY1Bit,127.19573,0.004989019607843148,-0.03140498247159409,0.6443885714285714,0.24907892600648002,0.0032769720345117706
RY8Bit,127.054,0.005672549019607842,-0.6419891405150612,0.6415314285714286,0.24845211912326362,0.0023492035642766872
Uniform1Bit,126.775,0.008023921568627412,3.847882586509179,2.230102857142857,0.24717782571904995,0.0001279273480408934
Uniform8Bit,127.15199,0.005740980392156869,2.1500122426132426,2.022674285714286,0.24852198218252425,-0.0013479803613712642
LCG,127.69382,0.004825294117647094,15.559629949596971,2.675977142857143,0.2505086118142991,-0.0030453226439166874
KISS,127.55244,0.002516666666666667,22.27937686730911,0.7653028571428572,0.2481159339851764,-0.025072840882039232
Hadamard1Bit,127.65237,0.0049605882352941055,0.5324406171932499,0.4317257142857143,0.2508457259889788,0.0029267492873003864
Hadamard8Bit,127.95091,0.005690196078431353,-0.5064414996619313,0.7808685714285715,0.25182183924876556,0.0005918539542942428
RY1Bit,127.16756,0.00554196078431371,0.8738373503885314,1.2241371428571428,0.24847204289035968,-0.0027310582509719227
RY8Bit,127.96799,0.006688431372549042,0.5887402556082401,1.399222857142857,0.2519042060855085,0.000821522241684795
Uniform1Bit,127.23415,0.005393137254901981,-0.641462337519925,0.9150628571428572,0.24894337986055295,-0.00018285896389037492
